Part Number	Product Description	Product Size	Packaging UOM	Price	List Price	List vs. Price % Change	12 Month Quantity Ordered	Average Price per Quantity	Total Estimated Impact	Product visible	Reason not visible	Included In Product Views	Manufacturer Name	Manufacturer Part Number	Category	Category UNSPSC	Commodity Code	UNSPSC
"M1821"	"M1821 Alkaline Phosphatase, Calf Intestinal, 1,000u"	"1,000u"	"EA"	"54.60"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M1821"	"Alkaline Phosphatases"	"12-35-22-04"	"00111"	"41116134"
"M2825"	"M2825 Alkaline Phosphatase, Calf Intestinal (HC), 1,000u"	"1,000u"	"EA"	"54.60"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M2825"	"Alkaline Phosphatases"	"12-35-22-04"	"00111"	"41116134"
"M1833"	"M1833 CIAP Buffer Pack, 1.5ml"	"1.5ml"	"EA"	"16.80"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M1833"	"Alkaline Phosphatases"	"12-35-22-04"	"00111"	"41116134"
"V3021"	"V3021 Proteinase K, 100mg"	"100mg"	"EA"	"93.60"	""	""	""	""	""	"false"	"*Item disabled in Item Administration*    Product Vertical(s): Lab Supplies    Category path: Molecular Biology>Proteins, Enzymes>Enzymes>Proteases"	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"V3021"	"Proteases"	"12-35-22-04"	"00111"	"41116133"
"M3011"	"M3011 Single-Stranded DNA Binding Protein, 100microg"	"100microg"	"EA"	"64.40"	""	""	"1"	"64.40"	"0.00"	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M3011"	"DNA Binding Proteins"	"12-35-22-02"	"00111"	"41116134"
"M2851"	"M2851 Topoisomerase I, 200u"	"200u"	"EA"	"106.40"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M2851"	"Other Enzymes"	"12-35-22-04"	"00111"	"41116134"
"N2111"	"N2111 RNasin Ribonuclease Inhibitor, 2,500u"	"2,500u"	"EA"	"149.25"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"N2111"	"Ribonuclease Inhibitors"	"12-35-22-00"	"00111"	"41116134"
"N2115"	"N2115 RNasin Ribonuclease Inhibitor, 10,000u"	"10,000u"	"EA"	"366.75"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"N2115"	"Ribonuclease Inhibitors"	"12-35-22-00"	"00111"	"41116134"
"N2511"	"N2511 Recombinant RNasin Ribonuclease Inhibitor, 2,500u"	"2,500u"	"EA"	"84.00"	""	""	"14"	"84.00"	"0.00"	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"N2511"	"Ribonuclease Inhibitors"	"12-35-22-00"	"00111"	"41116133"
"N2515"	"N2515 Recombinant RNasin Ribonuclease Inhibitor, 10,000u"	"10,000u"	"EA"	"204.00"	""	""	"18"	"204.00"	"0.00"	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"N2515"	"Ribonuclease Inhibitors"	"12-35-22-00"	"00111"	"41116133"
"R9991"	"R9991 MULTI-CORE Buffer Pack, 3 x 1ml"	"3 x 1ml"	"EA"	"9.10"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R9991"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R9921"	"R9921 4-CORE Buffer Pack (Buffers A, B, C and D), 1ml each, 4ml"	"4ml"	"EA"	"9.10"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R9921"	"Biological Buffers"	"12-16-17-00"	"00278"	"41116133"
"R9461"	"R9461 Bovine Serum Albumin, Acetylated, 400microl"	"400microl"	"EA"	"8.40"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R9461"	"Bovine Serum"	"12-35-22-07"	"00278"	"41116134"
"Y9341"	"Y9341 Promega Flipper Rack, Blue, 8 x 8 tubes"	"8 x 8 tubes"	"EA"	"9.10"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"Y9341"	"Racks"	"41-12-28-00"	"00111"	"41122801"
"Y9422"	"Y9422 Promega Flipper Rack, Purple, 8 x 12 tubes"	"8 x 12 tubes"	"EA"	"9.10"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"Y9422"	"Racks"	"41-12-28-00"	"00111"	"41122801"
"R6411"	"R6411 AccI, 100u"	"100u"	"EA"	"75.60"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R6411"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R6415"	"R6415 AccI, 500u"	"500u"	"EA"	"192.50"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R6415"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R6581"	"R6581 AccIII, 200u"	"200u"	"EA"	"81.90"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R6581"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R7251"	"R7251 AgeI, 100u"	"100u"	"EA"	"63.00"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R7251"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R6281"	"R6281 AluI, 500u"	"500u"	"EA"	"59.50"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R6281"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R6361"	"R6361 ApaI, 5,000u"	"5,000u"	"EA"	"69.30"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R6361"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R4364"	"R4364 ApaI (HC), 25,000u"	"25,000u"	"EA"	"183.40"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R4364"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R6131"	"R6131 AvaII, 100u"	"100u"	"EA"	"28.00"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R6131"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R6135"	"R6135 AvaII, 1,000u"	"1,000u"	"EA"	"183.40"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R6135"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R6691"	"R6691 BalI, 50u"	"50u"	"EA"	"88.20"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R6691"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R6695"	"R6695 BalI, 250u"	"250u"	"EA"	"320.60"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R6695"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R6021"	"R6021 BamHI, 2,500u"	"2,500u"	"EA"	"33.60"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R6021"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R6025"	"R6025 BamHI, 12,500u"	"12,500u"	"EA"	"112.00"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R6025"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R4024"	"R4024 BamHI (HC), 12,500u"	"12,500u"	"EA"	"95.90"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R4024"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R4027"	"R4027 BamHI (HC), 50,000u"	"50,000u"	"EA"	"167.30"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R4027"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R6891"	"R6891 BanI, 200u"	"200u"	"EA"	"49.70"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R6891"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R6651"	"R6651 BclI, 1,000u"	"1,000u"	"EA"	"70.00"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R6651"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R6071"	"R6071 BglI, 1,000u"	"1,000u"	"EA"	"41.30"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R6071"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R6077"	"R6077 BglI, 5,000u"	"5,000u"	"EA"	"165.20"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R6077"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R4074"	"R4074 BglI (HC), 5,000u"	"5,000u"	"EA"	"127.40"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R4074"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R6081"	"R6081 BglII, 500u"	"500u"	"EA"	"29.40"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R6081"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R6085"	"R6085 BglII, 2,500u"	"2,500u"	"EA"	"109.90"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R6085"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R6087"	"R6087 BglII, 10,000u"	"10,000u"	"EA"	"365.40"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R6087"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R6831"	"R6831 BssHII, 100u"	"100u"	"EA"	"49.00"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R6831"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R6835"	"R6835 BssHII, 500u"	"500u"	"EA"	"165.90"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R6835"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R6641"	"R6641 BstEII, 2,000u"	"2,000u"	"EA"	"53.20"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R6641"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R6471"	"R6471 BstXI, 250u"	"250u"	"EA"	"29.40"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R6471"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R6475"	"R6475 BstXI, 1,000u"	"1,000u"	"EA"	"109.90"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R6475"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R6241"	"R6241 CfoI, 3,000u"	"3,000u"	"EA"	"70.70"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R6241"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R6551"	"R6551 ClaI, 500u"	"500u"	"EA"	"52.50"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R6551"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R6555"	"R6555 ClaI, 2,500u"	"2,500u"	"EA"	"175.70"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R6555"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R6675"	"R6675 CspI, 500u"	"500u"	"EA"	"320.60"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R6675"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R6291"	"R6291 DdeI, 200u"	"200u"	"EA"	"24.50"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R6291"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R6295"	"R6295 DdeI, 1,000u"	"1,000u"	"EA"	"81.20"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R6295"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R6231"	"R6231 DpnI, 200u"	"200u"	"EA"	"50.40"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R6231"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R6271"	"R6271 DraI, 2,000u"	"2,000u"	"EA"	"42.00"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R6271"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R6731"	"R6731 Eco47III, 50u"	"50u"	"EA"	"60.20"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R6731"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
"R6951"	"R6951 EcoICRI, 1,000u"	"1,000u"	"EA"	"59.50"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"R6951"	"Restriction Enzymes"	"12-35-22-04"	"00111"	"41116134"
